업종이름,업종코드
그 외 기타 간이 음식점,I21099
김밥/만두/분식,I21007
버거,I21004
빵/도넛,I21001
치킨,I21006
토스트/샌드위치/샐러드,I21005
피자,I21003
기타 동남아식 전문,I20599
베트남식 전문,I20501
카페,I21201
경양식,I20401
파스타/스테이크,I20402
패밀리레스토랑,I20403
기타 일식 음식점,I20399
일식 카레/돈가스/덮밥,I20302
일식 회/초밥,I20301
마라탕/훠궈,I20202
중국집,I20201
곱창 전골/구이,I20109
국/탕/찌개류,I20102
국수/칼국수,I20105
닭/오리고기 구이/찜,I20110
돼지고기 구이/찜,I20107
백반/한정식,I20101
소고기 구이/찜,I20108
전/부침개,I20104
해산물 구이/찜,I20112
